timestamp,emotion
2025-07-04 20:50:26,neutral
2025-07-04 20:50:46,neutral
2025-07-05 01:02:28,neutral
2025-07-05 01:02:40,neutral
2025-07-05 01:20:22,neutral
2025-07-05 01:20:39,neutral
2025-07-05 01:20:56,neutral
2025-07-05 01:21:09,neutral
2025-07-05 01:21:31,happy
2025-07-05 01:21:40,happy
2025-07-05 12:02:03,neutral
2025-07-05 12:02:16,sad
2025-07-05 12:02:31,sad
2025-07-05 12:02:39,neutral
2025-07-05 12:02:52,neutral
2025-07-05 12:03:06,fear
2025-07-05 12:03:21,neutral
2025-07-05 12:03:33,neutral
2025-07-05 12:03:49,sad
2025-07-05 12:06:09,fear
2025-07-05 12:06:26,fear
2025-07-05 12:43:29,fear
2025-07-05 12:43:48,happy
2025-07-05 12:44:00,fear
2025-07-05 12:44:13,happy
2025-07-05 15:47:47,happy
2025-07-05 15:47:59,fear
2025-07-05 15:48:30,neutral
2025-07-05 15:48:47,happy
2025-07-05 15:49:03,neutral
2025-07-05 15:49:14,happy
2025-07-05 15:49:20,happy
2025-07-05 15:55:33,sad
2025-07-05 15:56:09,happy
2025-07-05 15:56:23,happy
2025-07-05 15:56:34,angry
2025-07-05 15:57:00,sad
2025-07-05 15:57:29,happy
2025-07-05 15:57:46,happy
2025-07-05 15:58:19,happy
2025-07-05 15:58:36,surprise
2025-07-05 15:58:44,surprise
2025-07-05 15:58:59,fear
2025-07-05 15:59:20,happy
2025-07-05 15:59:46,sad
2025-07-05 16:00:03,happy
2025-07-05 16:00:16,sad
2025-07-05 16:00:27,sad
